model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000000724,3,2/255,0.25,0.45,rcp,0.9382093302246854,0.9382093302246854,0.9382093302246854,1816.249498128891,poisson_gaussian,0.8992212136852404,0.8992212136852404
yolo11x,000000000724,3,2/255,0.25,0.45,rcp,0.9438922134465231,0.9438922134465231,0.9438922134465231,911.0001164674759,salt_and_pepper,0.0,0.9438922134465231
yolo11x,000000000724,3,2/255,0.25,0.45,rcp,0.9407956311047775,0.9407956311047775,0.9407956311047775,701.9322142004967,uniform,0.015356844604463689,0.09377690362846912
yolo11x,000000001532,0,1/255,0.25,0.45,odpv,0.8546035289764404,0.8546035289764404,0.8546035289764404,249.62808400392532,laplace,0.06546878814697266,0.00029277801513671875
yolo11x,000000001532,0,1/255,0.25,0.45,odpv,0.8615570664405823,0.8615570664405823,0.8615570664405823,126.08633729815483,normal,9.5367431640625e-07,0.7423219680786133
yolo11x,000000001532,0,1/255,0.25,0.45,odpv,0.8404772877693176,0.8404772877693176,0.8404772877693176,130.3432004749775,poisson,0.07628154754638672,0.0
yolo11x,000000001532,0,1/255,0.25,0.45,odpv,0.8546050786972046,0.8546050786972046,0.8546050786972046,125.61556649208069,poisson_gaussian,0.06546878814697266,0.00029277801513671875
yolo11x,000000001532,0,1/255,0.25,0.45,odpv,0.8606749176979065,0.8606749176979065,0.8606749176979065,124.56368604302406,salt_and_pepper,9.5367431640625e-07,0.7424812316894531
yolo11x,000000001532,0,1/255,0.25,0.45,odpv,0.85517817735672,0.85517817735672,0.85517817735672,124.70888009667397,uniform,0.06413936614990234,0.002227783203125
yolo11x,000000001532,0,1/255,0.25,0.45,rcp,0.8715016902342156,0.8715016902342156,0.8715016902342156,699.3957375586033,laplace,0.8801158564753678,0.8036179217698826
yolo11x,000000001532,0,1/255,0.25,0.45,rcp,0.8717825589903525,0.8717825589903525,0.8717825589903525,687.2787410318851,normal,0.8714828270699434,0.8164466286668505
yolo11x,000000001532,0,1/255,0.25,0.45,rcp,0.8703667180700568,0.8703667180700568,0.8703667180700568,919.8787970542908,poisson,0.8872060435986215,0.8077281324232936
yolo11x,000000001532,0,1/255,0.25,0.45,rcp,0.870901798405784,0.870901798405784,0.870901798405784,1242.2076501250267,poisson_gaussian,0.8825231908869179,0.7996976430530853
yolo11x,000000001532,0,1/255,0.25,0.45,rcp,0.8722314545121118,0.8722314545121118,0.8722314545121118,639.0116869807243,salt_and_pepper,0.8560745395042818,0.8181072736965197
yolo11x,000000001532,0,1/255,0.25,0.45,rcp,0.8721113603559626,0.8721113603559626,0.8721113603559626,470.7892743051052,uniform,0.8721248408929353,0.8085108326306327
yolo11x,000000001532,0,2/255,0.25,0.45,odpv,0.8270164728164673,0.8270164728164673,0.8270164728164673,240.05970379710197,laplace,0.41509342193603516,0.0
yolo11x,000000001532,0,2/255,0.25,0.45,odpv,0.8552048802375793,0.8552048802375793,0.8552048802375793,124.30351084470749,normal,0.06480693817138672,0.002227783203125
yolo11x,000000001532,0,2/255,0.25,0.45,odpv,0.8551768660545349,0.8551768660545349,0.8551768660545349,122.37179878354073,salt_and_pepper,0.06413936614990234,0.002227783203125
yolo11x,000000001532,0,2/255,0.25,0.45,odpv,0.8410049080848694,0.8410049080848694,0.8410049080848694,126.97784063220024,uniform,0.0674734115600586,0.0
yolo11x,000000001532,0,2/255,0.25,0.45,rcp,0.8691524838647445,0.8691524838647445,0.8691524838647445,688.410800755024,laplace,0.9072605166646989,0.005720536686518132
yolo11x,000000001532,0,2/255,0.25,0.45,rcp,0.8714647155854576,0.8714647155854576,0.8714647155854576,687.3687128722668,normal,0.8802749134334672,0.8123636756991763
yolo11x,000000001532,0,2/255,0.25,0.45,rcp,0.8711099260660359,0.8711099260660359,0.8711099260660359,1044.827403575182,poisson,0.8939792877705045,0.8000293332994382
yolo11x,000000001532,0,2/255,0.25,0.45,rcp,0.8703409073832833,0.8703409073832833,0.8703409073832833,1358.9039316177368,poisson_gaussian,0.8914787694264457,0.8078357485125497
yolo11x,000000001532,0,2/255,0.25,0.45,rcp,0.871655031058314,0.871655031058314,0.871655031058314,652.2876833081245,salt_and_pepper,0.8744922903945009,0.805942455996334
yolo11x,000000001532,0,2/255,0.25,0.45,rcp,0.8712205956024028,0.8712205956024028,0.8712205956024028,470.11286103725433,uniform,0.8918512621634472,0.8023885523850287
