model,image,gt_index,epsilon,method,iou,iou_0.5,iou_0.7,time
yolo11m,000000076417,0,2/255,square_attack,0.948606550693512,0.948606550693512,0.948606550693512,67.00799908638001
yolo11m,000000076417,1,1/255,odpv,0.9555884599685669,0.9555884599685669,0.9555884599685669,21.5292227268219
yolo11m,000000076417,1,1/255,pgd,0.0,0.0,0.0,1.5531625270843505
yolo11m,000000076417,1,1/255,rcp,0.9603319474616034,0.9603319474616034,0.9603319474616034,509.9925305843353
yolo11m,000000076417,1,1/255,square_attack,0.9560462236404419,0.9560462236404419,0.9560462236404419,68.24326763153076
yolo11m,000000076417,1,2/255,odpv,0.9514244794845581,0.9514244794845581,0.9514244794845581,21.53100562095642
yolo11m,000000076417,1,2/255,pgd,0.0,0.0,0.0,1.0682395458221436
yolo11m,000000076417,1,2/255,rcp,0.95978518491646,0.95978518491646,0.95978518491646,508.15484952926636
yolo11m,000000076417,1,2/255,square_attack,0.9464427828788757,0.9464427828788757,0.9464427828788757,67.00799908638001
yolo11m,000000076417,2,1/255,odpv,0.8475444316864014,0.8475444316864014,0.8475444316864014,22.327444791793823
yolo11m,000000076417,2,1/255,pgd,0.660374641418457,0.660374641418457,0.0,1.5531625270843505
yolo11m,000000076417,2,1/255,rcp,0.8688001871225375,0.8688001871225375,0.8688001871225375,509.9925305843353
yolo11m,000000076417,2,1/255,square_attack,0.8625547885894775,0.8625547885894775,0.8625547885894775,68.24326763153076
yolo11m,000000076417,2,2/255,odpv,0.8475444316864014,0.8475444316864014,0.8475444316864014,22.333109617233276
yolo11m,000000076417,2,2/255,pgd,0.37469756603240967,0.0,0.0,1.0682395458221436
yolo11m,000000076417,2,2/255,rcp,0.8669128279384409,0.8669128279384409,0.8669128279384409,508.15484952926636
yolo11m,000000076417,2,2/255,square_attack,0.8539430499076843,0.8539430499076843,0.8539430499076843,67.00799908638001
yolo11m,000000076417,3,1/255,odpv,0.9075697660446167,0.9075697660446167,0.9075697660446167,22.299334049224854
yolo11m,000000076417,3,1/255,pgd,0.4167484641075134,0.0,0.0,1.5531625270843505
yolo11m,000000076417,3,1/255,rcp,0.9154074334566926,0.9154074334566926,0.9154074334566926,509.9925305843353
yolo11m,000000076417,3,1/255,square_attack,0.9086612462997437,0.9086612462997437,0.9086612462997437,68.24326763153076
yolo11m,000000076417,3,2/255,odpv,0.8845874071121216,0.8845874071121216,0.8845874071121216,22.322020530700684
yolo11m,000000076417,3,2/255,pgd,0.0,0.0,0.0,1.0682395458221436
yolo11m,000000076417,3,2/255,rcp,0.9142431214693204,0.9142431214693204,0.9142431214693204,508.15484952926636
yolo11m,000000076417,3,2/255,square_attack,0.8908752799034119,0.8908752799034119,0.8908752799034119,67.00799908638001
yolo11m,000000076417,4,1/255,odpv,0.0,0.0,0.0,0.0018503665924072266
yolo11m,000000076417,4,1/255,pgd,0.0,0.0,0.0,1.5531625270843505
yolo11m,000000076417,4,1/255,rcp,0.0,0.0,0.0,509.9925305843353
yolo11m,000000076417,4,1/255,square_attack,0.0,0.0,0.0,68.24326763153076
yolo11m,000000076417,4,2/255,odpv,0.0,0.0,0.0,0.0017962455749511719
yolo11m,000000076417,4,2/255,pgd,0.0,0.0,0.0,1.0682395458221436
yolo11m,000000076417,4,2/255,rcp,0.0,0.0,0.0,508.15484952926636
yolo11m,000000076417,4,2/255,square_attack,0.0,0.0,0.0,67.00799908638001
yolo11m,000000079034,0,1/255,odpv,0.9725367426872253,0.9725367426872253,0.9725367426872253,21.870421409606934
yolo11m,000000079034,0,1/255,pgd,0.6702475547790527,0.6702475547790527,0.0,1.5856775045394897
yolo11m,000000079034,0,1/255,rcp,0.9863206419435747,0.9863206419435747,0.9863206419435747,440.7815492550532
yolo11m,000000079034,0,1/255,square_attack,0.9811840653419495,0.9811840653419495,0.9811840653419495,72.99896705150604
yolo11m,000000079034,0,2/255,odpv,0.966198742389679,0.966198742389679,0.966198742389679,21.904554843902588
yolo11m,000000079034,0,2/255,pgd,0.38585364818573,0.0,0.0,1.0396360953648884
yolo11m,000000079034,0,2/255,rcp,0.9854397870999104,0.9854397870999104,0.9854397870999104,443.1689412991206
yolo11m,000000079034,0,2/255,square_attack,0.9743731617927551,0.9743731617927551,0.9743731617927551,71.49129545688629
yolo11m,000000079034,1,1/255,odpv,0.5155637860298157,0.5155637860298157,0.0,21.944803476333618
yolo11m,000000079034,1,1/255,pgd,0.0,0.0,0.0,1.5856775045394897
yolo11m,000000079034,1,1/255,rcp,0.5932915128525332,0.5932915128525332,0.0,440.7815492550532
yolo11m,000000079034,1,1/255,square_attack,0.53993821144104,0.53993821144104,0.0,72.99896705150604
yolo11m,000000079034,1,2/255,odpv,0.523490846157074,0.523490846157074,0.0,21.76236391067505
yolo11m,000000079034,1,2/255,pgd,0.0,0.0,0.0,1.0396360953648884
yolo11m,000000079034,1,2/255,rcp,0.5782965242546689,0.5782965242546689,0.0,443.1689412991206
yolo11m,000000079034,1,2/255,square_attack,0.49318552017211914,0.0,0.0,71.49129545688629
yolo11m,000000079034,2,1/255,odpv,0.6913192272186279,0.6913192272186279,0.0,22.13644027709961
yolo11m,000000079034,2,1/255,pgd,0.013874243944883347,0.0,0.0,1.5856775045394897
yolo11m,000000079034,2,1/255,rcp,0.8408288989339198,0.8408288989339198,0.8408288989339198,440.7815492550532
yolo11m,000000079034,2,1/255,square_attack,0.7973292469978333,0.7973292469978333,0.7973292469978333,72.99896705150604
yolo11m,000000079034,2,2/255,odpv,0.6315402388572693,0.6315402388572693,0.0,21.957855224609375
yolo11m,000000079034,2,2/255,pgd,0.0,0.0,0.0,1.0396360953648884
yolo11m,000000079034,2,2/255,rcp,0.8226312812022571,0.8226312812022571,0.8226312812022571,443.1689412991206
yolo11m,000000079034,2,2/255,square_attack,0.6418783068656921,0.6418783068656921,0.0,71.49129545688629
yolo11m,000000079034,3,1/255,odpv,0.0,0.0,0.0,0.10196685791015625
yolo11m,000000079034,3,1/255,pgd,0.0,0.0,0.0,1.5856775045394897
yolo11m,000000079034,3,1/255,rcp,0.47128994302141897,0.0,0.0,440.7815492550532
yolo11m,000000079034,3,1/255,square_attack,0.4644360840320587,0.0,0.0,72.99896705150604
yolo11m,000000079034,3,2/255,odpv,0.0,0.0,0.0,0.08077406883239746
yolo11m,000000079034,3,2/255,pgd,0.0,0.0,0.0,1.0396360953648884
yolo11m,000000079034,3,2/255,rcp,0.46543988459029834,0.0,0.0,443.1689412991206
yolo11m,000000079034,3,2/255,square_attack,0.4488769471645355,0.0,0.0,71.49129545688629
yolo11m,000000079034,4,1/255,odpv,0.0,0.0,0.0,0.0923147201538086
yolo11m,000000079034,4,1/255,pgd,0.19243170320987701,0.0,0.0,1.5856775045394897
yolo11m,000000079034,4,1/255,rcp,0.2152646531899459,0.0,0.0,440.7815492550532
yolo11m,000000079034,4,1/255,square_attack,0.1996474713087082,0.0,0.0,72.99896705150604
yolo11m,000000079034,4,2/255,odpv,0.0,0.0,0.0,0.07467031478881836
yolo11m,000000079034,4,2/255,pgd,0.0,0.0,0.0,1.0396360953648884
yolo11m,000000079034,4,2/255,rcp,0.2100780300141424,0.0,0.0,443.1689412991206
yolo11m,000000079034,4,2/255,square_attack,0.19363835453987122,0.0,0.0,71.49129545688629
yolo11m,000000079034,5,1/255,odpv,0.0,0.0,0.0,0.09076523780822754
yolo11m,000000079034,5,1/255,pgd,0.0,0.0,0.0,1.5856775045394897
yolo11m,000000079034,5,1/255,rcp,0.0,0.0,0.0,440.7815492550532
yolo11m,000000079034,5,1/255,square_attack,0.0,0.0,0.0,72.99896705150604
yolo11m,000000079034,5,2/255,odpv,0.0,0.0,0.0,0.06962800025939941
yolo11m,000000079034,5,2/255,pgd,0.0,0.0,0.0,1.0396360953648884
yolo11m,000000079034,5,2/255,rcp,0.0,0.0,0.0,443.1689412991206
yolo11m,000000079034,5,2/255,square_attack,0.0,0.0,0.0,71.49129545688629
yolo11m,000000141597,0,1/255,odpv,0.9581074714660645,0.9581074714660645,0.9581074714660645,22.655380249023438
yolo11m,000000141597,0,1/255,pgd,0.4390324354171753,0.0,0.0,1.912439505259196
yolo11m,000000141597,0,1/255,rcp,0.9767379587852982,0.9767379587852982,0.9767379587852982,818.0772199630737
yolo11m,000000141597,0,1/255,square_attack,0.7569796442985535,0.7569796442985535,0.7569796442985535,85.96017130215962
yolo11m,000000141597,0,2/255,odpv,0.9346891641616821,0.9346891641616821,0.9346891641616821,21.309492826461792
yolo11m,000000141597,0,2/255,pgd,0.0,0.0,0.0,1.2129261493682861
yolo11m,000000141597,0,2/255,rcp,0.9715952680276052,0.9715952680276052,0.9715952680276052,818.4333011309305
yolo11m,000000141597,0,2/255,square_attack,0.6757940053939819,0.6757940053939819,0.0,86.43429199854533
yolo11m,000000141597,1,1/255,odpv,0.7484766840934753,0.7484766840934753,0.7484766840934753,22.57061004638672
yolo11m,000000141597,1,1/255,pgd,0.1521492749452591,0.0,0.0,1.912439505259196
yolo11m,000000141597,1,1/255,rcp,0.881610524515782,0.881610524515782,0.881610524515782,818.0772199630737
yolo11m,000000141597,1,1/255,square_attack,0.7631480693817139,0.7631480693817139,0.7631480693817139,85.96017130215962
yolo11m,000000141597,1,2/255,odpv,0.6919421553611755,0.6919421553611755,0.0,21.207456588745117
yolo11m,000000141597,1,2/255,pgd,0.0,0.0,0.0,1.2129261493682861
yolo11m,000000141597,1,2/255,rcp,0.8064477141497775,0.8064477141497775,0.8064477141497775,818.4333011309305
yolo11m,000000141597,1,2/255,square_attack,0.7308481931686401,0.7308481931686401,0.7308481931686401,86.43429199854533
yolo11m,000000141597,2,1/255,odpv,0.9254456758499146,0.9254456758499146,0.9254456758499146,22.090715408325195
yolo11m,000000141597,2,1/255,pgd,0.0,0.0,0.0,1.912439505259196
yolo11m,000000141597,2,1/255,rcp,0.9354589925920646,0.9354589925920646,0.9354589925920646,818.0772199630737
yolo11m,000000141597,2,1/255,square_attack,0.9063258171081543,0.9063258171081543,0.9063258171081543,85.96017130215962
yolo11m,000000141597,2,2/255,odpv,0.9149203896522522,0.9149203896522522,0.9149203896522522,21.105024099349976
yolo11m,000000141597,2,2/255,pgd,0.0,0.0,0.0,1.2129261493682861
yolo11m,000000141597,2,2/255,rcp,0.927261671713825,0.927261671713825,0.927261671713825,818.4333011309305
yolo11m,000000141597,2,2/255,square_attack,0.8053208589553833,0.8053208589553833,0.8053208589553833,86.43429199854533
yolo11m,000000144333,0,1/255,odpv,0.8428502678871155,0.8428502678871155,0.8428502678871155,21.88179326057434
yolo11m,000000144333,0,1/255,pgd,0.0,0.0,0.0,1.3829947412014008
yolo11m,000000144333,0,1/255,rcp,0.8981087017427654,0.8981087017427654,0.8981087017427654,316.3414745628834
yolo11m,000000144333,0,1/255,square_attack,0.8917816281318665,0.8917816281318665,0.8917816281318665,85.07872265577316
yolo11m,000000144333,0,2/255,odpv,0.7929907441139221,0.7929907441139221,0.7929907441139221,20.88068652153015
yolo11m,000000144333,0,2/255,pgd,0.0,0.0,0.0,0.9848237633705139
yolo11m,000000144333,0,2/255,rcp,0.8911603986405526,0.8911603986405526,0.8911603986405526,316.5062210261822
yolo11m,000000144333,0,2/255,square_attack,0.8466318845748901,0.8466318845748901,0.8466318845748901,82.83339229226112
yolo11m,000000144333,1,1/255,odpv,0.8613588213920593,0.8613588213920593,0.8613588213920593,21.67469835281372
yolo11m,000000144333,1,1/255,pgd,0.0,0.0,0.0,1.3829947412014008
yolo11m,000000144333,1,1/255,rcp,0.9076993115752737,0.9076993115752737,0.9076993115752737,316.3414745628834
yolo11m,000000144333,1,1/255,square_attack,0.8085076808929443,0.8085076808929443,0.8085076808929443,85.07872265577316
yolo11m,000000144333,1,2/255,odpv,0.7410309314727783,0.7410309314727783,0.7410309314727783,20.756173372268677
yolo11m,000000144333,1,2/255,pgd,0.0,0.0,0.0,0.9848237633705139
yolo11m,000000144333,1,2/255,rcp,0.9025272691200721,0.9025272691200721,0.9025272691200721,316.5062210261822
yolo11m,000000144333,1,2/255,square_attack,0.7515934705734253,0.7515934705734253,0.7515934705734253,82.83339229226112
yolo11m,000000144333,2,1/255,odpv,0.9157715439796448,0.9157715439796448,0.9157715439796448,23.584988117218018
yolo11m,000000144333,2,1/255,pgd,0.656523585319519,0.656523585319519,0.0,1.3829947412014008
yolo11m,000000144333,2,1/255,rcp,0.9392392360259544,0.9392392360259544,0.9392392360259544,316.3414745628834
yolo11m,000000144333,2,1/255,square_attack,0.908974826335907,0.908974826335907,0.908974826335907,85.07872265577316
yolo11m,000000144333,2,2/255,odpv,0.8962298631668091,0.8962298631668091,0.8962298631668091,22.5212824344635
yolo11m,000000144333,2,2/255,pgd,0.41768962144851685,0.0,0.0,0.9848237633705139
yolo11m,000000144333,2,2/255,rcp,0.9313581728919915,0.9313581728919915,0.9313581728919915,316.5062210261822
yolo11m,000000144333,2,2/255,square_attack,0.8753823637962341,0.8753823637962341,0.8753823637962341,82.83339229226112
yolo11m,000000144333,3,1/255,odpv,0.5330146551132202,0.5330146551132202,0.0,23.693599462509155
yolo11m,000000144333,3,1/255,pgd,0.0,0.0,0.0,1.3829947412014008
yolo11m,000000144333,3,1/255,rcp,0.6123853389141088,0.6123853389141088,0.0,316.3414745628834
yolo11m,000000144333,3,1/255,square_attack,0.48059481382369995,0.0,0.0,85.07872265577316
yolo11m,000000144333,3,2/255,odpv,0.5268880128860474,0.5268880128860474,0.0,22.14939570426941
yolo11m,000000144333,3,2/255,pgd,0.0,0.0,0.0,0.9848237633705139
yolo11m,000000144333,3,2/255,rcp,0.605791423399508,0.605791423399508,0.0,316.5062210261822
yolo11m,000000144333,3,2/255,square_attack,0.0,0.0,0.0,82.83339229226112
yolo11m,000000144333,4,1/255,odpv,0.9139009714126587,0.9139009714126587,0.9139009714126587,23.39112162590027
yolo11m,000000144333,4,1/255,pgd,0.0,0.0,0.0,1.3829947412014008
yolo11m,000000144333,4,1/255,rcp,0.9672214743287681,0.9672214743287681,0.9672214743287681,316.3414745628834
yolo11m,000000144333,4,1/255,square_attack,0.9398665428161621,0.9398665428161621,0.9398665428161621,85.07872265577316
yolo11m,000000144333,4,2/255,odpv,0.9079541563987732,0.9079541563987732,0.9079541563987732,22.41441798210144
yolo11m,000000144333,4,2/255,pgd,0.0,0.0,0.0,0.9848237633705139
yolo11m,000000144333,4,2/255,rcp,0.9590486453639328,0.9590486453639328,0.9590486453639328,316.5062210261822
yolo11m,000000144333,4,2/255,square_attack,0.009878388606011868,0.0,0.0,82.83339229226112
yolo11m,000000144333,5,1/255,odpv,0.8993026614189148,0.8993026614189148,0.8993026614189148,21.695277452468872
yolo11m,000000144333,5,1/255,pgd,0.4418014585971832,0.0,0.0,1.3829947412014008
yolo11m,000000144333,5,1/255,rcp,0.9298844262056304,0.9298844262056304,0.9298844262056304,316.3414745628834
yolo11m,000000144333,5,1/255,square_attack,0.9086877107620239,0.9086877107620239,0.9086877107620239,85.07872265577316
