model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,17178,4,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,119.265052318573,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,4,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,119.265052318573,0.9548670649528505,0.9548670649528505,0.9548670649528505,0.9548670649528505,0.9548670649528505,0.9548670649528505,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,4,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,119.265052318573,0.973800837420009,0.973800837420009,0.973800837420009,0.973800837420009,0.973800837420009,0.973800837420009,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,0,1/255,0.25,0.45,rcp,pgd,0.8244315401635666,0.8244315401635666,0.8244315401635666,973.4639200210572,0.0,0.0,0.0,0.8244315401635666,0.8244315401635666,0.8244315401635666,False,False,True,True,False,False,False,False,True,True
yolo11x,33759,0,1/255,0.25,0.45,rcp,square_attack,0.8244315401635666,0.8244315401635666,0.8244315401635666,973.4639200210572,0.8120676279067993,0.8120676279067993,0.8120676279067993,0.012363912256767251,0.012363912256767251,0.012363912256767251,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,0,1/255,0.25,0.45,rcp,rcp,0.8244315401635666,0.8244315401635666,0.8244315401635666,973.4639200210572,0.8244315401635666,0.8244315401635666,0.8244315401635666,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,0,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.3859013557434,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,33759,0,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.3859013557434,0.8120676279067993,0.8120676279067993,0.8120676279067993,0.8120676279067993,0.8120676279067993,0.8120676279067993,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,0,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.3859013557434,0.8244315401635666,0.8244315401635666,0.8244315401635666,0.8244315401635666,0.8244315401635666,0.8244315401635666,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,0,2/255,0.25,0.45,rcp,pgd,0.8215713220106088,0.8215713220106088,0.8215713220106088,975.2564578056335,0.0,0.0,0.0,0.8215713220106088,0.8215713220106088,0.8215713220106088,False,False,True,True,False,False,False,False,True,True
yolo11x,33759,0,2/255,0.25,0.45,rcp,square_attack,0.8215713220106088,0.8215713220106088,0.8215713220106088,975.2564578056335,0.7946637868881226,0.7946637868881226,0.7946637868881226,0.026907535122486226,0.026907535122486226,0.026907535122486226,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,0,2/255,0.25,0.45,rcp,rcp,0.8215713220106088,0.8215713220106088,0.8215713220106088,975.2564578056335,0.8215713220106088,0.8215713220106088,0.8215713220106088,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,0,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,116.42428078651427,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,33759,0,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,116.42428078651427,0.7946637868881226,0.7946637868881226,0.7946637868881226,0.7946637868881226,0.7946637868881226,0.7946637868881226,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,0,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,116.42428078651427,0.8215713220106088,0.8215713220106088,0.8215713220106088,0.8215713220106088,0.8215713220106088,0.8215713220106088,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,1,1/255,0.25,0.45,rcp,pgd,0.9756866662336022,0.9756866662336022,0.9756866662336022,973.4639200210572,0.9534639120101928,0.9534639120101928,0.9534639120101928,0.02222275422340947,0.02222275422340947,0.02222275422340947,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,1,1/255,0.25,0.45,rcp,square_attack,0.9756866662336022,0.9756866662336022,0.9756866662336022,973.4639200210572,0.9655702710151672,0.9655702710151672,0.9655702710151672,0.010116395218434993,0.010116395218434993,0.010116395218434993,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,1,1/255,0.25,0.45,rcp,rcp,0.9756866662336022,0.9756866662336022,0.9756866662336022,973.4639200210572,0.9756866662336022,0.9756866662336022,0.9756866662336022,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,1,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.3859013557434,0.9534639120101928,0.9534639120101928,0.9534639120101928,0.9534639120101928,0.9534639120101928,0.9534639120101928,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,1,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.3859013557434,0.9655702710151672,0.9655702710151672,0.9655702710151672,0.9655702710151672,0.9655702710151672,0.9655702710151672,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,1,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.3859013557434,0.9756866662336022,0.9756866662336022,0.9756866662336022,0.9756866662336022,0.9756866662336022,0.9756866662336022,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,1,2/255,0.25,0.45,rcp,pgd,0.975508859427924,0.975508859427924,0.975508859427924,975.2564578056335,0.0,0.0,0.0,0.975508859427924,0.975508859427924,0.975508859427924,False,False,True,True,False,False,False,False,True,True
yolo11x,33759,1,2/255,0.25,0.45,rcp,square_attack,0.975508859427924,0.975508859427924,0.975508859427924,975.2564578056335,0.9590701460838318,0.9590701460838318,0.9590701460838318,0.016438713344092193,0.016438713344092193,0.016438713344092193,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,1,2/255,0.25,0.45,rcp,rcp,0.975508859427924,0.975508859427924,0.975508859427924,975.2564578056335,0.975508859427924,0.975508859427924,0.975508859427924,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,1,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,116.42428078651427,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,33759,1,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,116.42428078651427,0.9590701460838318,0.9590701460838318,0.9590701460838318,0.9590701460838318,0.9590701460838318,0.9590701460838318,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,1,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,116.42428078651427,0.975508859427924,0.975508859427924,0.975508859427924,0.975508859427924,0.975508859427924,0.975508859427924,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,2,1/255,0.25,0.45,rcp,pgd,0.9395460818020708,0.9395460818020708,0.9395460818020708,973.4639200210572,0.541059136390686,0.0,0.541059136390686,0.39848694541138474,0.9395460818020708,0.39848694541138474,True,False,False,True,False,False,False,False,True,True
yolo11x,33759,2,1/255,0.25,0.45,rcp,square_attack,0.9395460818020708,0.9395460818020708,0.9395460818020708,973.4639200210572,0.9365196228027344,0.9365196228027344,0.9365196228027344,0.003026458999336401,0.003026458999336401,0.003026458999336401,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,2,1/255,0.25,0.45,rcp,rcp,0.9395460818020708,0.9395460818020708,0.9395460818020708,973.4639200210572,0.9395460818020708,0.9395460818020708,0.9395460818020708,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,2,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.3859013557434,0.541059136390686,0.0,0.541059136390686,0.541059136390686,0.0,0.541059136390686,False,False,False,False,True,False,False,True,True,True
yolo11x,33759,2,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.3859013557434,0.9365196228027344,0.9365196228027344,0.9365196228027344,0.9365196228027344,0.9365196228027344,0.9365196228027344,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,2,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.3859013557434,0.9395460818020708,0.9395460818020708,0.9395460818020708,0.9395460818020708,0.9395460818020708,0.9395460818020708,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,2,2/255,0.25,0.45,rcp,pgd,0.93846675406924,0.93846675406924,0.93846675406924,975.2564578056335,0.0,0.0,0.0,0.93846675406924,0.93846675406924,0.93846675406924,False,False,True,True,False,False,False,False,True,True
yolo11x,33759,2,2/255,0.25,0.45,rcp,square_attack,0.93846675406924,0.93846675406924,0.93846675406924,975.2564578056335,0.9300207495689392,0.9300207495689392,0.9300207495689392,0.008446004500300752,0.008446004500300752,0.008446004500300752,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,2,2/255,0.25,0.45,rcp,rcp,0.93846675406924,0.93846675406924,0.93846675406924,975.2564578056335,0.93846675406924,0.93846675406924,0.93846675406924,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,33759,2,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,116.42428078651427,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,33759,2,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,116.42428078651427,0.9300207495689392,0.9300207495689392,0.9300207495689392,0.9300207495689392,0.9300207495689392,0.9300207495689392,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,2,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,116.42428078651427,0.93846675406924,0.93846675406924,0.93846675406924,0.93846675406924,0.93846675406924,0.93846675406924,False,False,False,False,True,True,False,False,True,True
yolo11x,33759,3,1/255,0.25,0.45,rcp,pgd,0.0,0.0,0.0,973.4639200210572,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,1/255,0.25,0.45,rcp,square_attack,0.0,0.0,0.0,973.4639200210572,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,1/255,0.25,0.45,rcp,rcp,0.0,0.0,0.0,973.4639200210572,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.3859013557434,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.3859013557434,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.3859013557434,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,2/255,0.25,0.45,rcp,pgd,0.0,0.0,0.0,975.2564578056335,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,2/255,0.25,0.45,rcp,square_attack,0.0,0.0,0.0,975.2564578056335,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,2/255,0.25,0.45,rcp,rcp,0.0,0.0,0.0,975.2564578056335,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,116.42428078651427,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,33759,3,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,116.42428078651427,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
