model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,7088,3,1/255,0.25,0.45,median_nms,pgd,0.0,0.0,0.0,25.229624271392822,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,1/255,0.25,0.45,median_nms,square_attack,0.0,0.0,0.0,25.229624271392822,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,1/255,0.25,0.45,median_nms,rcp,0.0,0.0,0.0,25.229624271392822,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,rcp,pgd,0.0,0.0,0.0,1230.3408640623093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,rcp,square_attack,0.0,0.0,0.0,1230.3408640623093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,rcp,rcp,0.0,0.0,0.0,1230.3408640623093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,186.2095463871956,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,186.2095463871956,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,186.2095463871956,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,median_nms,pgd,0.0,0.0,0.0,24.001970887184143,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,median_nms,square_attack,0.0,0.0,0.0,24.001970887184143,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,2/255,0.25,0.45,median_nms,rcp,0.0,0.0,0.0,24.001970887184143,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,14380,0,1/255,0.25,0.45,rcp,pgd,0.8557387202603506,0.8557387202603506,0.8557387202603506,2273.0314968824387,0.0,0.0,0.0,0.8557387202603506,0.8557387202603506,0.8557387202603506,False,False,True,True,False,False,False,False,True,True
yolo11x,14380,0,1/255,0.25,0.45,rcp,square_attack,0.8557387202603506,0.8557387202603506,0.8557387202603506,2273.0314968824387,0.8374001383781433,0.8374001383781433,0.8374001383781433,0.018338581882207272,0.018338581882207272,0.018338581882207272,True,True,False,False,False,False,False,False,True,True
yolo11x,14380,0,1/255,0.25,0.45,rcp,rcp,0.8557387202603506,0.8557387202603506,0.8557387202603506,2273.0314968824387,0.8557387202603506,0.8557387202603506,0.8557387202603506,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
