model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000084492,2,2/255,0.25,0.45,rcp,0.9664561536404027,0.9664561536404027,0.9664561536404027,650.1192161015102
yolo11x,000000084492,2,2/255,0.25,0.45,square_attack,0.9477530717849731,0.9477530717849731,0.9477530717849731,123.64830418995449
yolo11x,000000084492,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,83.66042631013053
yolo11x,000000084492,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,655.1153378486633
yolo11x,000000084492,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,666.1886658668518
yolo11x,000000084492,3,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,124.04417262758527
yolo11x,000000084492,3,2/255,0.25,0.45,odpv,0.0,0.0,0.0,83.69483137130737
yolo11x,000000084492,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,122.18467450141907
yolo11x,000000084492,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,650.1192161015102
yolo11x,000000084492,3,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,123.64830418995449
yolo11x,000000084492,4,1/255,0.25,0.45,odpv,0.0,0.0,0.0,83.66042631013053
yolo11x,000000084492,4,1/255,0.25,0.45,pgd,0.0,0.0,0.0,655.1153378486633
yolo11x,000000084492,4,1/255,0.25,0.45,rcp,0.9427229928428954,0.9427229928428954,0.9427229928428954,666.1886658668518
yolo11x,000000084492,4,1/255,0.25,0.45,square_attack,0.9186353087425232,0.9186353087425232,0.9186353087425232,124.04417262758527
yolo11x,000000084492,4,2/255,0.25,0.45,odpv,0.0,0.0,0.0,83.69483137130737
yolo11x,000000084492,4,2/255,0.25,0.45,pgd,0.0,0.0,0.0,122.18467450141907
yolo11x,000000084492,4,2/255,0.25,0.45,rcp,0.9408131657434539,0.9408131657434539,0.9408131657434539,650.1192161015102
yolo11x,000000084492,4,2/255,0.25,0.45,square_attack,0.8813010454177856,0.8813010454177856,0.8813010454177856,123.64830418995449
yolo11x,000000084492,5,1/255,0.25,0.45,odpv,0.0,0.0,0.0,83.66042631013053
yolo11x,000000084492,5,1/255,0.25,0.45,pgd,0.0,0.0,0.0,655.1153378486633
yolo11x,000000084492,5,1/255,0.25,0.45,rcp,0.9093135010162319,0.9093135010162319,0.9093135010162319,666.1886658668518
