model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,3,2/255,0.65,0.45,odpv,pgd,0.0,0.0,0.0,148.65371531248093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.65,0.65,rcp,pgd,0.0,0.0,0.0,1247.0056970715525,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.65,0.65,odpv,pgd,0.0,0.0,0.0,146.08382987976074,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.25,0.25,rcp,pgd,0.8525415486026106,0.8525415486026106,0.8525415486026106,2275.5286301374435,0.0,0.0,0.0,0.8525415486026106,0.8525415486026106,0.8525415486026106,False,False,True,True,False,False,False,False
yolo11x,14380,0,2/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,292.6855480670929,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.25,0.45,rcp,pgd,0.8521002666157548,0.8521002666157548,0.8521002666157548,2350.8646490573883,0.0,0.0,0.0,0.8521002666157548,0.8521002666157548,0.8521002666157548,False,False,True,True,False,False,False,False
yolo11x,14380,0,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,290.71732234954834,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.25,0.65,rcp,pgd,0.8520323229717226,0.8520323229717226,0.8520323229717226,2328.9469122886658,0.0,0.0,0.0,0.8520323229717226,0.8520323229717226,0.8520323229717226,False,False,True,True,False,False,False,False
yolo11x,14380,0,2/255,0.25,0.65,odpv,pgd,0.0,0.0,0.0,292.6188703775406,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.45,0.25,rcp,pgd,0.8521929113690839,0.8521929113690839,0.8521929113690839,2331.155091047287,0.0,0.0,0.0,0.8521929113690839,0.8521929113690839,0.8521929113690839,False,False,True,True,False,False,False,False
yolo11x,14380,0,2/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,295.7464772462845,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.45,0.45,rcp,pgd,0.8531735725465455,0.8531735725465455,0.8531735725465455,2329.724330306053,0.0,0.0,0.0,0.8531735725465455,0.8531735725465455,0.8531735725465455,False,False,True,True,False,False,False,False
yolo11x,14380,0,2/255,0.45,0.45,odpv,pgd,0.0,0.0,0.0,290.7253499031067,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.45,0.65,rcp,pgd,0.8530020759760342,0.8530020759760342,0.8530020759760342,2256.259411931038,0.0,0.0,0.0,0.8530020759760342,0.8530020759760342,0.8530020759760342,False,False,True,True,False,False,False,False
