model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000084492,0,1/255,0.45,0.25,square_attack,0.9559699296951294,0.9559699296951294,0.9559699296951294,111.7209736279079
yolo11x,000000084492,0,2/255,0.45,0.25,odpv,0.9492473602294922,0.9492473602294922,0.9492473602294922,51.68170475959778
yolo11x,000000084492,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,7.164834260940552
yolo11x,000000084492,0,2/255,0.45,0.25,rcp,0.9691638839931174,0.9691638839931174,0.9691638839931174,444.31278368404935
yolo11x,000000084492,0,2/255,0.45,0.25,square_attack,0.9461517930030823,0.9461517930030823,0.9461517930030823,109.34273856026786
yolo11x,000000084492,1,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.058786869049072266
yolo11x,000000084492,1,1/255,0.45,0.25,pgd,0.0,0.0,0.0,616.1273555755615
yolo11x,000000084492,1,1/255,0.45,0.25,rcp,0.0,0.0,0.0,447.5844217027937
yolo11x,000000084492,1,1/255,0.45,0.25,square_attack,0.0,0.0,0.0,111.7209736279079
yolo11x,000000084492,1,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0570223331451416
yolo11x,000000084492,1,2/255,0.45,0.25,pgd,0.0,0.0,0.0,7.164834260940552
yolo11x,000000084492,1,2/255,0.45,0.25,rcp,0.0,0.0,0.0,444.31278368404935
yolo11x,000000084492,1,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,109.34273856026786
yolo11x,000000084492,2,1/255,0.45,0.25,odpv,0.9419261813163757,0.9419261813163757,0.9419261813163757,52.10953664779663
yolo11x,000000084492,2,1/255,0.45,0.25,pgd,0.0,0.0,0.0,616.1273555755615
yolo11x,000000084492,2,1/255,0.45,0.25,rcp,0.9671204512616952,0.9671204512616952,0.9671204512616952,447.5844217027937
yolo11x,000000084492,2,1/255,0.45,0.25,square_attack,0.9572810530662537,0.9572810530662537,0.9572810530662537,111.7209736279079
yolo11x,000000084492,2,2/255,0.45,0.25,odpv,0.941871702671051,0.941871702671051,0.941871702671051,51.92288827896118
yolo11x,000000084492,2,2/255,0.45,0.25,pgd,0.0,0.0,0.0,7.164834260940552
yolo11x,000000084492,2,2/255,0.45,0.25,rcp,0.965343213098032,0.965343213098032,0.965343213098032,444.31278368404935
yolo11x,000000084492,2,2/255,0.45,0.25,square_attack,0.9477530717849731,0.9477530717849731,0.9477530717849731,109.34273856026786
yolo11x,000000084492,3,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0025777816772460938
yolo11x,000000084492,3,1/255,0.45,0.25,pgd,0.0,0.0,0.0,616.1273555755615
yolo11x,000000084492,3,1/255,0.45,0.25,rcp,0.0,0.0,0.0,447.5844217027937
yolo11x,000000084492,3,1/255,0.45,0.25,square_attack,0.0,0.0,0.0,111.7209736279079
yolo11x,000000084492,3,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0031890869140625
yolo11x,000000084492,3,2/255,0.45,0.25,pgd,0.0,0.0,0.0,7.164834260940552
yolo11x,000000084492,3,2/255,0.45,0.25,rcp,0.0,0.0,0.0,444.31278368404935
yolo11x,000000084492,3,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,109.34273856026786
yolo11x,000000084492,4,1/255,0.45,0.25,odpv,0.815153956413269,0.815153956413269,0.815153956413269,52.58417248725891
yolo11x,000000084492,4,1/255,0.45,0.25,pgd,0.0,0.0,0.0,616.1273555755615
yolo11x,000000084492,4,1/255,0.45,0.25,rcp,0.9434556799241012,0.9434556799241012,0.9434556799241012,447.5844217027937
yolo11x,000000084492,4,1/255,0.45,0.25,square_attack,0.9186353087425232,0.9186353087425232,0.9186353087425232,111.7209736279079
yolo11x,000000084492,4,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.05290031433105469
yolo11x,000000084492,4,2/255,0.45,0.25,pgd,0.0,0.0,0.0,7.164834260940552
