model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000065485,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,2900.8369666337967,poisson,0.9797998831681731,0.9770101326300874
yolo11x,000000065485,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,4150.957015275955,poisson_gaussian,0.9800954601510676,0.9766581248862984
yolo11x,000000065485,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1898.8460911512375,salt_and_pepper,0.9793658561261184,0.9780737830733789
yolo11x,000000065485,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1333.4368381500244,uniform,0.9796279093899781,0.9774828476717045
yolo11x,000000141597,0,1/255,0.25,0.45,odpv,0.9476885795593262,0.9476885795593262,0.9476885795593262,423.39707708358765,laplace,0.039585113525390625,0.891413688659668
yolo11x,000000141597,0,1/255,0.25,0.45,odpv,0.958321750164032,0.958321750164032,0.958321750164032,205.66445271174112,normal,0.029451370239257812,0.9135828018188477
yolo11x,000000141597,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,499.516761859258,poisson,1.0,0.0
yolo11x,000000141597,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,392.6089788277944,poisson_gaussian,1.0,0.0
yolo11x,000000141597,0,1/255,0.25,0.45,odpv,0.958321750164032,0.958321750164032,0.958321750164032,200.91400583585104,salt_and_pepper,0.029451370239257812,0.9135828018188477
yolo11x,000000141597,0,1/255,0.25,0.45,odpv,0.958207368850708,0.958207368850708,0.958207368850708,201.87272572517395,uniform,0.033783912658691406,0.9131069183349609
yolo11x,000000141597,0,1/255,0.25,0.45,rcp,0.9687067835828701,0.9687067835828701,0.9687067835828701,1585.0582252343495,laplace,0.02740261590759674,0.937614679950101
yolo11x,000000141597,0,1/255,0.25,0.45,rcp,0.9691522717144069,0.9691522717144069,0.9691522717144069,1562.5767664114635,normal,0.027109195871066943,0.9387379454807708
yolo11x,000000141597,0,1/255,0.25,0.45,rcp,0.9680786193715688,0.9680786193715688,0.9680786193715688,2090.0043424765267,poisson,0.027338862762077885,0.9374410682310439
yolo11x,000000141597,0,1/255,0.25,0.45,rcp,0.9689275192120591,0.9689275192120591,0.9689275192120591,2863.3457125027976,poisson_gaussian,0.027388470590527382,0.9377259130667572
yolo11x,000000141597,0,1/255,0.25,0.45,rcp,0.9690859783966618,0.9690859783966618,0.9690859783966618,1487.4630291461945,salt_and_pepper,0.02706853407088034,0.9389480331838662
yolo11x,000000141597,0,1/255,0.25,0.45,rcp,0.969268868737439,0.969268868737439,0.969268868737439,1065.8128604094188,uniform,0.02717308708490225,0.9386527694792418
yolo11x,000000141597,0,2/255,0.25,0.45,rcp,0.9669217674843816,0.9669217674843816,0.9669217674843816,1583.7048784097035,laplace,0.02748274928892791,0.9374374866326349
yolo11x,000000141597,0,2/255,0.25,0.45,rcp,0.9683156945431638,0.9683156945431638,0.9683156945431638,1553.67067583402,normal,0.02725383632632725,0.9382310698597853
yolo11x,000000141597,0,2/255,0.25,0.45,rcp,0.9684541387312277,0.9684541387312277,0.9684541387312277,2377.1302230358124,poisson,0.02740294129087042,0.9372832100790743
yolo11x,000000141597,0,2/255,0.25,0.45,rcp,0.9677431514649606,0.9677431514649606,0.9677431514649606,3101.866970539093,poisson_gaussian,0.02741776258671209,0.9373595965236543
yolo11x,000000141597,0,2/255,0.25,0.45,rcp,0.9683550956342973,0.9683550956342973,0.9683550956342973,1482.912039756775,salt_and_pepper,0.027211038460977822,0.938371313862827
yolo11x,000000141597,0,2/255,0.25,0.45,rcp,0.968179251020046,0.968179251020046,0.968179251020046,1054.9964940547943,uniform,0.027433156859827796,0.9378436459378604
yolo11x,000000141597,1,1/255,0.25,0.45,odpv,0.9009442925453186,0.9009442925453186,0.9009442925453186,423.39707708358765,laplace,1.0,0.891413688659668
yolo11x,000000141597,1,1/255,0.25,0.45,odpv,0.9135830998420715,0.9135830998420715,0.9135830998420715,205.66445271174112,normal,9.5367431640625e-07,0.9135828018188477
yolo11x,000000141597,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,499.516761859258,poisson,1.0,0.0
yolo11x,000000141597,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,392.6089788277944,poisson_gaussian,1.0,0.0
yolo11x,000000141597,1,1/255,0.25,0.45,odpv,0.9135830998420715,0.9135830998420715,0.9135830998420715,200.91400583585104,salt_and_pepper,9.5367431640625e-07,0.9135828018188477
yolo11x,000000141597,1,1/255,0.25,0.45,odpv,0.9131064414978027,0.9131064414978027,0.9131064414978027,201.87272572517395,uniform,0.9840221405029297,0.9131069183349609
yolo11x,000000141597,1,1/255,0.25,0.45,rcp,0.9475281850405066,0.9475281850405066,0.9475281850405066,1585.0582252343495,laplace,0.02740261590759674,0.937614679950101
yolo11x,000000141597,1,1/255,0.25,0.45,rcp,0.9478148476413303,0.9478148476413303,0.9478148476413303,1562.5767664114635,normal,0.027109195871066943,0.9387379454807708
