model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,0,1/255,0.45,0.45,odpv,square_attack,0.0,0.0,0.0,145.84854811429977,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.45,0.45,odpv,rcp,0.0,0.0,0.0,145.84854811429977,0.8985900489677097,0.8985900489677097,0.8985900489677097,0.8985900489677097,0.8985900489677097,0.8985900489677097,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.45,0.65,rcp,pgd,0.8986733405806496,0.8986733405806496,0.8986733405806496,1232.1655073165894,0.0,0.0,0.0,0.8986733405806496,0.8986733405806496,0.8986733405806496,False,False,True,True,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.65,rcp,square_attack,0.8986733405806496,0.8986733405806496,0.8986733405806496,1232.1655073165894,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.007172509930320037,0.007172509930320037,0.007172509930320037,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.65,rcp,rcp,0.8986733405806496,0.8986733405806496,0.8986733405806496,1232.1655073165894,0.8986733405806496,0.8986733405806496,0.8986733405806496,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.65,odpv,pgd,0.0,0.0,0.0,146.79886877536774,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.45,0.65,odpv,square_attack,0.0,0.0,0.0,146.79886877536774,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.45,0.65,odpv,rcp,0.0,0.0,0.0,146.79886877536774,0.8986733405806496,0.8986733405806496,0.8986733405806496,0.8986733405806496,0.8986733405806496,0.8986733405806496,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.65,0.25,rcp,pgd,0.0,0.0,0.0,1222.7531120181084,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.25,rcp,square_attack,0.0,0.0,0.0,1222.7531120181084,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.25,rcp,rcp,0.0,0.0,0.0,1222.7531120181084,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.25,odpv,pgd,0.0,0.0,0.0,212.35178714990616,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.25,odpv,square_attack,0.0,0.0,0.0,212.35178714990616,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.25,odpv,rcp,0.0,0.0,0.0,212.35178714990616,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
